ds,y,yhat1,residual1,trend,season_yearly
2000-01-01,23694.76048,23158.025390625,-536.7350893750008,23338.037109375,0.6201003789901733
2001-01-01,23628.32721,23865.193359375,236.86614937500053,23765.615234375,0.7253424525260925
2002-01-01,25197.2656,25831.818359375,634.5527593750012,24931.5859375,0.6907548904418945
2003-01-01,30310.3576,29844.447265625,-465.91033437499937,27382.77734375,0.6556679606437683
2004-01-01,34106.65812,32420.693359375,-1685.964760625,29055.37890625,0.6201003789901733
2005-01-01,34520.23965,35437.640625,917.4009749999968,30472.94921875,0.7253424525260925
2006-01-01,36353.88033,38125.73828125,1771.85795125,32202.84765625,0.6907548904418945
2007-01-01,41640.08087,40901.83203125,-738.248838749998,34061.28125,0.6556679606437683
2008-01-01,45612.71062,43790.48046875,-1822.230151249998,36073.328125,0.6201003789901733
2009-01-01,41650.36783,43724.7109375,2074.343107499997,35276.09375,0.7253424525260925
2010-01-01,41572.45595,41914.87109375,342.4151437499968,34443.9375,0.6907548904418945
2011-01-01,46705.8958,44473.796875,-2232.0989249999984,36218.6953125,0.6556679606437683
2012-01-01,43855.85447,45481.6171875,1625.7627175000016,37117.17578125,0.6201003789901733
2013-01-01,46298.92292,47194.203125,895.2802050000028,37286.9921875,0.7253424525260925
2014-01-01,48023.86998,44967.61328125,-3056.256698750003,36249.484375,0.6907548904418945
2015-01-01,41103.25644,43138.8515625,2035.5951225000026,35412.40625,0.6556679606437683
2016-01-01,42136.12079,42732.28125,596.1604599999991,35420.16015625,0.6201003789901733
2017-01-01,44652.58917,44890.71875,238.12958000000071,35951.90625,0.7253424525260925
2018-01-01,47939.27829,45864.3046875,-2074.973602500002,36779.8359375,0.6907548904418945
2019-01-01,46793.68676,46773.63671875,-20.050041249996866,37607.765625,0.6556679606437683
2020-01-01,46772.82535,47617.75390625,844.9285562500008,38435.6953125,0.6201003789901733
2021-01-01,51203.55447,50608.48828125,-595.0661887500028,39265.8984375,0.7253424525260925
2022-01-01,48432.45587,51467.453125,3034.997255000002,40093.828125,0.6907548904418945
2022-12-31,48432.45587,49750.109375,3034.997255000002,40919.4921875,0.5107014179229736
2023-12-31,48432.45587,50325.01171875,3034.997255000002,41747.421875,0.47340071201324463
2024-12-31,48432.45587,53645.34375,3034.997255000002,42577.6171875,0.5840707421302795
2025-12-31,48432.45587,54235.515625,3034.997255000002,43405.546875,0.5475980043411255
2026-12-31,48432.45587,54756.5625,3034.997255000002,44233.48046875,0.5107014179229736
2027-12-31,48432.45587,55207.84375,3034.997255000002,45061.41015625,0.47340071201324463
2028-12-31,48432.45587,58894.9375,3034.997255000002,45891.609375,0.5840707421302795
2029-12-31,48432.45587,59364.23828125,3034.997255000002,46719.5390625,0.5475980043411255
2030-12-31,48432.45587,59763.00390625,3034.997255000002,47547.46875,0.5107014179229736
2031-12-31,48432.45587,60090.67578125,3034.997255000002,48375.3984375,0.47340071201324463
2032-12-31,48432.45587,64144.53125,3034.997255000002,49205.59765625,0.5840707421302795
2033-12-31,48432.45587,64492.9609375,3034.997255000002,50033.52734375,0.5475980043411255
2034-12-31,48432.45587,64769.453125,3034.997255000002,50861.45703125,0.5107014179229736
2035-12-31,48432.45587,64973.51171875,3034.997255000002,51689.38671875,0.47340071201324463
2036-12-31,48432.45587,69394.125,3034.997255000002,52519.5859375,0.5840707421302795
2037-12-31,48432.45587,69621.6875,3034.997255000002,53347.515625,0.5475980043411255
2038-12-31,48432.45587,69775.90625,3034.997255000002,54175.4453125,0.5107014179229736
2039-12-31,48432.45587,69856.34375,3034.997255000002,55003.37890625,0.47340071201324463
2040-12-31,48432.45587,74643.71875,3034.997255000002,55833.578125,0.5840707421302795
2041-12-31,48432.45587,74750.40625,3034.997255000002,56661.50390625,0.5475980043411255
2042-12-31,48432.45587,74782.3515625,3034.997255000002,57489.4375,0.5107014179229736
2043-12-31,48432.45587,74739.1875,3034.997255000002,58317.37109375,0.47340071201324463
2044-12-31,48432.45587,79893.3125,3034.997255000002,59147.5625,0.5840707421302795
2045-12-31,48432.45587,79879.1328125,3034.997255000002,59975.49609375,0.5475980043411255
