Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,21853.44999,19681.64503,20290.78042,23705.90722,30819.99349,34460.543,36570.76307,41023.75486,49681.21907,42810.46584,52132.46961,62598.68662,68047.37818,68156.3861,62515.31483,56708.9612,49876.71238,53934.15437,57206.99067,54941.06572,51722.069,60444.50236,64491.42989
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688,53637.70571,52131.44666
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46641.71166,45517.90382,51268.38804,49582.82536
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,3726.81142,3142.235528,2824.715396,3056.64968,3623.223905,4773.26848,5866.024313,7323.19034,8801.759475,8569.901805,11249.29374,13200.55817,12327.51556,12258.56485,12071.40465,8783.214413,8680.735421,9896.717511,9121.020092,8845.323931,6923.700197,7696.785531,8917.673898
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,1621.262107,1770.906779,2092.982886,2719.494892,3389.687613,3899.825138,4523.147525,5888.776852,7271.305201,6988.274819,6862.757687,7856.985958,7431.014045,7686.629222,7912.52054,7081.102336,7574.191264,8386.589202,9451.85087,9878.768872,10153.4766,12222.23565,13772.47679
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,24271.00206,23821.44559,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46547.79518,46374.15275,43349.67786,52358.62164,54966.48884
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..,..,..,..,..,..,87184.51299,89960.68303,89704.22255,81398.3236,76873.19532,75435.61523,75466.13587,75685.35837,76610.64797,77295.84566,78858.27966,81255.11227,85231.77515,89846.3211,83897.50521,88475.60088,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,243.8775801,242.5757267,253.4106706,283.675348,309.1902426,317.8776781,340.4145172,388.4777713,446.2287699,452.9222361,459.7769816,515.2095038,525.8675036,352.226855,394.8569331,351.8797548,372.1354561,414.7403226,435.9322963,426.408753,435.4692482,461.1375109,427.0580963
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,44318.2211,42678.27703,45279.64194,49428.30976,57200.46646,58550.65717,63665.31535,75148.34944,..,..,..,..,..,..,..,..,58093.99606,57683.8939,62316.21995,61281.32722,57339.52687,67960.727,..
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,959.3604121,1053.112272,1148.514188,1288.637543,1508.667946,1753.414263,2099.219342,2693.958555,3468.327063,3832.227428,4550.473924,5614.385739,6300.582352,7020.385682,7636.074223,8016.446016,8094.390375,8817.045496,9905.406118,10143.86021,10408.71912,12617.50499,12720.21564
